medallion,name,type,current_status,DMV_license_plate,vehicle_VIN_number,vehicle_type,model_year,medallion_type,agent_number,agent_name,agent_telephone_number,agent_website,agent_address,last_updated_date,last_updated_time
5803D6EAD49AEAA82063A7DDCE35CD04,PROTON TRANSIT LLC.,MEDALLION,CUR,7V43A,4T1BD1FK9EU140300,HYB,2014,NAMED DRIVER,312,GOTHAM YELLOW LLC,(718)993-8100,,75 CANAL STREET WEST BRONX NY 10451,1/31/2015,13:20
670501134C86B2DA67D4BD7D05C9444E,JATT CAB CORP,MEDALLION,CUR,3V18H,4T1BD1FK6CU041141,HYB,2012,NAMED DRIVER,322,NYC INTERBORO MANAGEMENT INC,(718)392-0250,,36-02   21 STREET LIC NY 11106,1/31/2015,13:20
7547148BA2643D91AB617BEAAD610930,SAXON TAXI CO. INC.,MEDALLION,CUR,3H41A,3N8CM0JT9EK690149,LV1,2014,NAMED DRIVER,14,MIDTOWN OPERATING CORP,(718)937-2080,,42-50   24 STREET LIC NY 11101,1/31/2015,13:20
79616C285FA42A86698374E546EE4D57,BELLSKY TAXI LLC,MEDALLION,CUR,4G20C,1FADP5AU9DL519022,HYB,2013,NAMED DRIVER,206,AJB TAXI MANAGEMENT INC,(212)956-3177,,662   10 AVENUE NY NY 10036,1/31/2015,13:20
D7479C954DF136B1545CBF8491361A8D,"TORRES,HAROLD",MEDALLION,CUR,3T50A,2FAFP70W26X156009,CNG,2006,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-2550,,10 METROTECH NEW YORK NY,1/31/2015,13:20
F9FA751DAECA69F0AF703177916A29F8,"BELIARD,LECLERC",MEDALLION,CUR,3D30A,3VWPL7AJ3BM637581,DSE,2011,NAMED DRIVER,1,TIRU CABS ,(718)937-1122,,10 METROTECH NEW YORK NY,1/31/2015,13:20
D2842D4D37F17851610C2991B8B3B164,"ST.SURIN, HENRY CLAUDE",MEDALLION,CUR,4A52A,3VWPL7AJ4BM637329,DSE,2011,NAMED DRIVER,1,TIRU CABS ,(718)937-1123,,10 METROTECH NEW YORK NY,1/31/2015,13:20
9383E6D0EB4524BBC576072BFBE2E053,"PIERRE, GERALD",MEDALLION,CUR,8C72A,3VWPL7AJ1BM691252,DSE,2011,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-2551,,10 METROTECH NEW YORK NY,1/31/2015,13:20
160248D54674DD1633EC5CE7896215E8,"KANG,SUNG,CHOON",MEDALLION,CUR,5C61A,JTEBW3EH1A2041875,HYB,2010,NAMED DRIVER,1,TIRU CABS ,(718)937-1124,,10 METROTECH NEW YORK NY,1/31/2015,13:20
D1CAA58A231479ECF97D078BDE66F903,"DURSUN, KENAN",MEDALLION,CUR,5C66A,4T1BD1FK5CU051319,HYB,2012,NAMED DRIVER,1,TIRU CABS ,(718)937-1125,,10 METROTECH NEW YORK NY,1/31/2015,13:20
96FCD5A1B4C5C1527F22997478D3EFA6,"NGAI,YEN,H.",MEDALLION,CUR,5C76A,4T1BB3EK1AU123570,HYB,2010,NAMED DRIVER,1,TIRU CABS ,(718)937-1126,,10 METROTECH NEW YORK NY,1/31/2015,13:20
AE6D169855A4363F119879EB67476A26,"SINGH, BALWINDER",MEDALLION,CUR,5C77A,JTDZN3EU0E3325775,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1127,,10 METROTECH NEW YORK NY,1/31/2015,13:20
B3483C7FE98B736AAB5FD66CE1704BA1,"ZAINTZ,MURRAY",MEDALLION,CUR,5C88A,4T1BD1FKXEU107368,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1128,,10 METROTECH NEW YORK NY,1/31/2015,13:20
85B6168FC88F4914E4741015B1678BF4,"FLORENT, ANDRE E.",MEDALLION,CUR,6C14A,1FMCU49H98KC85780,HYB,2008,NAMED DRIVER,1,TIRU CABS ,(718)937-1129,,10 METROTECH NEW YORK NY,1/31/2015,13:20
A0B046BF91F9EA4A6C57ED521F902916,"TAM,CHI,C",MEDALLION,CUR,6C34A,JTDZN3EU7EJ009799,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1130,,10 METROTECH NEW YORK NY,1/31/2015,13:20
9B5BE818E3C04896687FFD3C4BF5555F,"ARBOLEDA, ANTONIO",MEDALLION,CUR,6C55A,1FMCU49399KC41302,HYB,2009,NAMED DRIVER,1,TIRU CABS ,(718)937-1131,,10 METROTECH NEW YORK NY,1/31/2015,13:20
FC5D75C17B0D313A47FB33872594F74A,"DRIVAS, ELENI",MEDALLION,CUR,8C43C,4T1BD1FK1EU141098,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1132,,10 METROTECH NEW YORK NY,1/31/2015,13:20
4C059BA8EA18A4B4BE05953621A78393,"LIRIANO, MANUEL",MEDALLION,CUR,7C55A,1FMCU4K32BKA69887,HYB,2011,NAMED DRIVER,1,TIRU CABS ,(718)937-1133,,10 METROTECH NEW YORK NY,1/31/2015,13:20
AC0F0DC08AB6FAD65A3A96CE701C3BA6,ZEMA CAB CORP,MEDALLION,CUR,3V70A,1FMCU49369KD02573,HYB,2009,NAMED DRIVER,1,TIRU CABS ,(718)937-1134,,10 METROTECH NEW YORK NY,1/31/2015,13:20
8E6F931A70CFB1C730F14E7AFEFFDE45,"SIMON, TERESA",MEDALLION,CUR,9C87A,JTDZN3EU6E3307295,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1135,,10 METROTECH NEW YORK NY,1/31/2015,13:20
3D3E86C77264624566882BB56DCB6A4D,ZEMA CAB CORP,MEDALLION,CUR,3V71A,1FADP5AU4DL551196,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-1136,,10 METROTECH NEW YORK NY,1/31/2015,13:20
7B7B36D82819A97757814B8FCD4A34DA,"SARUP, RAM",MEDALLION,CUR,9C46A,JTDZN3EU1D3197478,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-1137,,10 METROTECH NEW YORK NY,1/31/2015,13:20
576BE3CE0F330A86C813A5963430DCBD,"CHAUDHARY,MOHAMMAD,A",MEDALLION,CUR,8C83H,JTDZN3EU9D3193792,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-1138,,10 METROTECH NEW YORK NY,1/31/2015,13:20
B5792C4FB3A8665E7C0E8C9BEF3DD470,"SINGH, GURBHAG",MEDALLION,CUR,8C89A,JTDZN3EU2D3262192,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-1139,,10 METROTECH NEW YORK NY,1/31/2015,13:20
0ED0E5D3607E0B9C529F83225FF3946E,DANI TAXI INC,MEDALLION,CUR,9Y75A,4T1BD1FK9DU065533,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-1140,,10 METROTECH NEW YORK NY,1/31/2015,13:20
E92030BBDE0F50092A0686BFCC6E73DD,KETTERING CAB CORP,MEDALLION,CUR,6G63B,4T1BD1FK2EU140252,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1264,,10 METROTECH NEW YORK NY,1/31/2015,13:20
B5B3277A071E6FABA59080A3B4F9E675,R & Z HACKING CORP,MEDALLION,CUR,6H27B,1FMCU4K35AKD08301,HYB,2010,NAMED DRIVER,1,TIRU CABS ,(718)937-1355,,10 METROTECH NEW YORK NY,1/31/2015,13:20
CF2C842AC38307475BE0D2AF1CD9BFD4,JODAZ CAB CORP,MEDALLION,CUR,4L98H,4T1BD1FK5EU122392,HYB,2014,NAMED DRIVER,1,TIRU CABS ,(718)937-1398,,10 METROTECH NEW YORK NY,1/31/2015,13:20
DB838ACD62E7E39276E590C5DF53CE6B,"NEYJOVICH, MARIO",MEDALLION,CUR,9A97A,4T1BD1FK7DU074716,HYB,2013,NAMED DRIVER,1,TIRU CABS ,(718)937-2025,,10 METROTECH NEW YORK NY,1/31/2015,13:20
3FE92EB4C5ABADA36837F825818D0AFD,"AKHTAR, JAVED",MEDALLION,CUR,3A12B,1FMCU4K36CKA79159,HYB,2012,OWNER MUST DRIVE,1,TIRU CABS ,(718)937-4146,,10 METROTECH NEW YORK NY,1/31/2015,13:20
FE96D9F40F15B9880E62FE52D4A16EE7,MASERATI TAXI INC,MEDALLION,CUR,2G78C,JTDZN3EU7EJ008667,HYB,2014,NAMED DRIVER,20,DOWNTOWN TAXI MANAGEMENT LLC,(718)435-0660,,330 BUTLER STREET BROOKLYN NY 11217,1/31/2015,13:20
82B1EB154E3322C4999AEFCDDBA495BA,KING PIERRE TAXI INC,MEDALLION,CUR,9H62H,4T1BD1FK0EU097661,HYB,2014,NAMED DRIVER,21,TUNNEL TAXI MANAGEMENT LLC,(718)396-9020,,44-07 VERNON BOULEVARD LIC NY 11101,1/31/2015,13:20
B5E37E17B370C64235F5EF363107BB94,"THOMAS, ADROINE",MEDALLION,CUR,3D48A,1FMCU4K39CKA86011,HYB,2012,NAMED DRIVER,202,ALL TAXI MANAGEMENT INC,(718)361-0055,,41-25   36 STREET LIC NY 11101,1/31/2015,13:20
F9E9900C205070C99939224C1AF67E0F,LOVELEANN INC,MEDALLION,CUR,4G33B,4T1BB3EK3AU121321,HYB,2010,NAMED DRIVER,202,ALL TAXI MANAGEMENT INC,(718)361-0055,,41-25   36 STREET LIC NY 11101,1/31/2015,13:20
8FBFBDA6DFC78EE7028487F27CCB5474,BISON TRANS CORP,MEDALLION,CUR,3M64A,4T1BD1FK7CU061074,HYB,2012,NAMED DRIVER,202,ALL TAXI MANAGEMENT INC,(718)361-0055,,41-25   36 STREET LIC NY 11101,1/31/2015,13:20
6CE20A8D4E3097006E4C4BD9D7A01BC4,COMER TAXI INC,MEDALLION,CUR,4G27C,1FMCU49309KC15672,HYB,2009,NAMED DRIVER,206,AJB TAXI MANAGEMENT INC,(212)956-3177,,662   10 AVENUE NY NY 10036,1/31/2015,13:20
3CA1B03EE13A5D9227D8F75763F292D3,MAGNET CAB CORP,MEDALLION,CUR,9P66H,4T1BD1FK5EU110825,HYB,2014,NAMED DRIVER,232,WAILING MANAGEMENT INC,(718)472-1800,,31-08 NORTHERN BOULEVARD LIC NY 11101,1/31/2015,13:20
34F9EE575945A2C7C3E07AF6EE097F22,GOLDEN CHILD CAB CORP,MEDALLION,CUR,3L69H,4T1BD1FKXCU015156,HYB,2012,NAMED DRIVER,234,WOODSIDE MANAGEMENT INC.,(718)899-9369,,49-13 ROOSEVELT AVENUE WOODSIDE NY 11377,1/31/2015,13:20
65474738052E043BCB47B7BC0D0E31C3,MEGEVE TAXI LLC,MEDALLION,CUR,9V92A,JTDZN3EU6E3321830,HYB,2014,NAMED DRIVER,234,WOODSIDE MANAGEMENT INC.,(718)899-9369,,49-13 ROOSEVELT AVENUE WOODSIDE NY 11377,1/31/2015,13:20
B7F080A95C3E3407D456CB2B263809C4,BOMBSHELL TAXI LLC,MEDALLION,CUR,9J92B,JTDZN3EU6E3334075,HYB,2014,NAMED DRIVER,234,WOODSIDE MANAGEMENT INC.,(718)899-9369,,49-13 ROOSEVELT AVENUE WOODSIDE NY 11377,1/31/2015,13:20
2EB5BAC50157440E6DC2EDF9D85A7811,EVITAR LLC,MEDALLION,CUR,5C64H,1FMCU4K33CKB14062,HYB,2012,NAMED DRIVER,253,QUEENS MEDALLION LEASING INC.,(718)784-9292,,21-03   44 AVENUE LIC NY 11101,1/31/2015,13:20
B3B48A0C2E4BFA08D49C4B7D0E8B8EF7,C'EST MOI TAXI INC,MEDALLION,CUR,5L77A,JTDKN3DU4C1552561,HYB,2012,NAMED DRIVER,312,GOTHAM YELLOW LLC,(718)993-8100,,75 CANAL STREET WEST BRONX NY 10451,1/31/2015,13:20
558A89AF05E85098911A9B3D97B03956,PITSIRIKOS LLC,MEDALLION,CUR,6J36H,1FMCU4K37AKB06561,HYB,2010,NAMED DRIVER,320,EXECUTIVE OWNERS HOLDING CORP,(718)784-9292,,21-03   44 AVENUE LIC NY 11101,1/31/2015,13:20
F3236C2BB53B2DDB6EA9438A0AD56A67,XEKOLIARES LLC,MEDALLION,CUR,9H63B,1FMCU493X9KA89806,HYB,2009,NAMED DRIVER,320,EXECUTIVE OWNERS HOLDING CORP,(718)784-9292,,21-03   44 AVENUE LIC NY 11101,1/31/2015,13:20
6754E6ABA8688C3B9D6E616FB204532E,SIX DEGREES HACKING CORP,MEDALLION,CUR,2K58C,4T1BD1FK7FU142645,HYB,2015,NAMED DRIVER,327,WHITE AND BLUE GROUP CORP.,(718)786-6594,,35-11   43 AVENUE LIC NY 11101,1/31/2015,13:20
A20E6FA3044E5D55DE9E479C400ABFB1,"FIRST CNC,LLC",MEDALLION,CUR,3W49H,5TDZK3DC5ES452568,WAV,2014,NAMED DRIVER,340,OLA CABS,(212)266-1289,,600 WEST 50 STREET NEW YORK NY 10019,1/31/2015,13:20
331DCCD4079E18C81A4255161E6ACEE0,NIMRAT TAXI LLC,MEDALLION,CUR,4W36H,5TDZK3DC0ES451795,WAV,2014,OWNER MUST DRIVE,340,OLA CABS,(212)266-1433,,600 WEST 50 STREET NEW YORK NY 10019,1/31/2015,13:20
717ABC0D502EC243CBF00EDFFB16032F,"JEAN-JACQUES, RONY",MEDALLION,CUR,3E90A,5TDZK3EH8BS046872,NRML,2011,NAMED DRIVER,1,TIRU CABS ,(718)937-2138,,10 METROTECH NEW YORK NY,1/31/2015,13:20
B186E25E61732005B955910D0E662908,ACKA TAXI CO INC,MEDALLION,CUR,9L74A,2FABP7AVXBX171338,LV1,2011,NAMED DRIVER,11,J & I MAINTENANCE CORP,(718)858-3502,,341 BERGEN STREET BROOKLYN NY 11217,1/31/2015,13:20
1A1D00D7BE3045D87809A3881A3D3D2B,"POSLUK, NECMETTIN",MEDALLION,CUR,7E35B,3N8CM0JT5EK690245,LV1,2014,NAMED DRIVER,13,TEAM SYSTEMS CORP,(718)786-0643,,30-17   40 AVENUE LIC LIC NY 11101,1/31/2015,13:20
72DB0E4FF718D0E06183644A89241970,"FIGARO,VIEUX",MEDALLION,CUR,2E49B,2FABP7AV0BX112766,DSE,2011,NAMED DRIVER,224,S & R MEDALLION CORP,(212)957-9200,,625 WEST   51 STREET NEW YORK NY 10019,1/31/2015,13:20
88842D41956B0C0994EF366AEE36BBC8,BUDD TAXI CORP,MEDALLION,CUR,4Y21-B,5TDZA23C54S098788,DSE,2004,NAMED DRIVER,224,S & R MEDALLION CORP,(212)957-9200,,625 WEST   51 STREET NEW YORK NY 10019,1/31/2015,13:20
CD7B0B3C08A0432504E11C4966FDEBC9,2138 TRANS LLC,MEDALLION,CUR,7K13H,NM0KS9CN5BT072454,CNG,2011,NAMED DRIVER,259,MC GUINNESS MANAGEMENT CORP,(718)389-4483,,330 MC GUINNESS BOULEVARD BKLYN NY 11222,1/31/2015,13:20
9D6B9AF8662C429553CD572F4C7589A1,ALEXANDRA TAXI INC,MEDALLION,CUR,1H59B,5TDZARFH5ES007262,CNG,2014,NAMED DRIVER,267,2000 MANAGEMENT INC.,(718)336-6565,,1817 CONEY ISLAND AVENUE BKLYN NY 11230,1/31/2015,13:20
